name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul,country
DS Kulkarni,2014-2016,12,12,99.4,5,508,19,4/34,26.73,5.09,31.4,1,0,IND
Mohammad Akram,1995-2000,23,21,164.5,6,790,19,2/28,41.57,4.79,52.0,0,0,PAK
Mohammad Nadeem,2019-2023,34,26,135.2,4,753,19,3/43,39.63,5.56,42.7,0,0,OMA
Mushfiqur Rahman,2000-2004,28,28,222.0,18,983,19,2/21,51.73,4.42,70.1,0,0,BAN
PDRL Perera,1999-2007,19,19,148.0,11,820,19,3/23,43.15,5.54,46.7,0,0,SL
Shahid Nazir,1996-2000,17,17,135.0,6,649,19,3/14,34.15,4.8,42.6,0,0,PAK
M Sheikh,1997-2000,21,21,129.4,1,625,19,4/36,32.89,4.82,40.9,1,0,KENYA
Sohail Khan,2008-2016,13,13,111.0,4,597,19,5/55,31.42,5.37,35.0,0,1,PAK
Tanwir Afzal,2014-2018,20,19,142.0,14,601,19,3/20,31.63,4.23,44.8,0,0,HKG
PCR Tufnell,1990-1997,20,20,170.0,12,699,19,4/22,36.78,4.11,53.6,1,0,ENG
SD Anurasiri,1990-1994,21,21,176.0,5,729,18,3/41,40.5,4.14,58.6,0,0,SL
Anwar Ali,2013-2016,22,22,154.3,1,944,18,3/66,52.44,6.11,51.5,0,0,PAK
Azmatullah Omarzai,2021-2024,27,27,144.4,3,824,18,3/56,45.77,5.69,48.2,0,0,AFG
MD Dai,2014-2018,18,18,159.0,6,675,18,3/58,37.5,4.24,53.0,0,0,PNG
JOA Gordon,2012-2023,10,10,75.2,4,393,18,6/43,21.83,5.21,25.1,0,1,CAN
C Green,2020-2024,26,23,125.4,0,714,18,5/33,39.66,5.68,41.8,0,1,AUS
TM Head,2016-2024,65,37,175.3,0,999,18,2/21,55.5,5.69,58.5,0,0,AUS
DJ Hussey,2008-2013,69,39,133.4,1,698,18,4/21,38.77,5.22,44.5,2,0,AUS
PW Jarvis,1993-1993,11,11,98.4,4,485,18,5/35,26.94,4.91,32.8,0,1,ENG
AP Kuiper,1991-1996,25,19,98.0,0,518,18,3/33,28.77,5.28,32.6,0,0,SA
J Lewis,2005-2007,13,13,119.2,13,500,18,4/36,27.77,4.18,39.7,1,0,ENG
AK Markram,2017-2023,68,30,146.5,1,833,18,2/18,46.27,5.67,48.9,0,0,SA
CS Martin,2001-2008,20,19,158.0,14,804,18,3/62,44.66,5.08,52.6,0,0,NZ
Mohammad Ashraful,2001-2013,177,40,116.1,4,661,18,3/26,36.72,5.69,38.7,0,0,BAN
MV Nagamootoo,2000-2002,24,24,198.1,4,998,18,4/32,55.44,5.03,66.0,1,0,WI
Rahat Ali,2012-2016,14,14,113.1,1,658,18,3/40,36.55,5.81,37.7,0,0,PAK
R Ravindra,2023-2023,25,20,139.1,1,839,18,4/60,46.61,6.02,46.3,1,0,NZ
KT Sandher,2006-2007,15,15,116.0,5,569,18,3/24,31.61,4.9,38.6,0,0,CAN
GC Smith,2002-2013,197,43,171.0,0,951,18,3/30,52.83,5.56,57.0,0,0,SA
I Udana,2012-2021,21,21,151.3,2,950,18,3/82,52.77,6.27,50.5,0,0,SL
Washington Sundar,2017-2023,19,16,106.0,2,521,18,3/30,28.94,4.91,35.3,0,0,IND
AG Wharf,2004-2005,13,13,97.2,10,428,18,4/24,23.77,4.39,32.4,1,0,ENG
LR Williams,1996-2001,15,15,109.5,2,556,18,3/16,30.88,5.06,36.6,0,0,WI
Adeel Raja,2002-2011,21,21,141.0,6,690,17,4/42,40.58,4.89,49.7,1,0,NED
GD Campbell,1990-1990,10,10,82.1,5,314,17,3/17,18.47,3.82,29.0,0,0,AUS
MV Fleming,1997-1998,11,11,87.1,3,434,17,4/45,25.52,4.97,30.7,1,0,ENG
MG Hughes,1990-1993,18,18,153.5,17,608,17,3/33,35.76,3.95,54.2,0,0,AUS
HH Kanitkar,1997-2000,34,28,167.4,4,803,17,2/22,47.23,4.78,59.1,0,0,IND
JJC Lawson,2001-2005,13,12,93.0,5,498,17,4/57,29.29,5.35,32.8,1,0,WI
LS Livingstone,2021-2023,25,19,94.2,2,523,17,3/16,30.76,5.54,33.2,0,0,ENG
Mosaddek Hossain,2016-2022,43,41,188.2,2,969,17,3/13,57.0,5.14,66.4,0,0,BAN
J Nyumbu,2014-2015,19,18,140.4,3,738,17,3/42,43.41,5.24,49.6,0,0,ZIM
M Pathirana,2023-2023,12,12,84.4,2,616,17,4/32,36.23,7.27,29.8,1,0,SL
A Shahzad,2010-2011,11,11,98.0,5,490,17,3/41,28.82,5.0,34.5,0,0,ENG
PM Siddle,2009-2019,20,19,150.1,10,743,17,3/55,43.7,4.94,53.0,0,0,AUS
Aizaz Khan,2014-2018,19,19,121.2,2,680,16,2/26,42.5,5.6,45.5,0,0,HKG
JP Behrendorff,2019-2022,12,12,107.3,7,568,16,5/44,35.5,5.28,40.3,0,1,AUS
SM Boland,2016-2016,14,13,119.2,3,725,16,3/67,45.31,6.07,44.7,0,0,AUS
DL Chahar,2018-2022,13,12,85.0,5,489,16,3/27,30.56,5.75,31.8,0,0,IND
GR Codrington,2006-2007,17,17,121.5,9,577,16,4/33,36.06,4.73,45.6,1,0,CAN
CD de Lange,2016-2017,13,12,91.0,4,371,16,5/60,23.18,4.07,34.1,0,1,SCOT
AIC Dodemaide,1992-1993,12,12,112.0,19,393,16,4/20,24.56,3.5,42.0,1,0,AUS
Ehsan Nawaz,2014-2018,12,12,85.3,3,458,16,4/47,28.62,5.35,32.0,2,0,HKG
PJC Hoffmann,2006-2007,18,17,123.5,5,555,16,3/22,34.68,4.48,46.4,0,0,SCOT
Iftikhar Ahmed,2015-2023,28,22,132.4,4,742,16,5/40,46.37,5.59,49.7,0,1,PAK
Kashif Daud,2021-2022,19,19,110.3,10,482,16,3/41,30.12,4.36,41.4,0,0,UAE
JN Loftie-Eaton,2021-2024,36,20,76.5,4,375,16,4/34,23.43,4.88,28.8,1,0,NAM
DE Malcolm,1990-1994,10,10,87.4,8,404,16,3/40,25.25,4.6,32.8,0,0,ENG
S Matsikenyeri,2002-2015,113,38,153.2,2,778,16,2/25,48.62,5.07,57.5,0,0,ZIM
JL Pattinson,2011-2015,15,15,121.1,6,681,16,4/51,42.56,5.62,45.4,1,0,AUS
Saad Bin Zafar,2023-2024,12,12,110.0,3,486,16,3/43,30.37,4.41,41.2,0,0,CAN
RR Sarwan,2000-2013,181,25,96.5,3,586,16,3/31,36.62,6.05,36.3,0,0,WI
B Shikongo,2020-2023,14,14,87.0,6,540,16,3/42,33.75,6.2,32.6,0,0,NAM
MC Sorensen,2013-2016,13,12,90.3,4,520,16,4/40,32.5,5.74,33.9,1,0,IRE
BM Tickner,2022-2023,13,13,103.5,4,679,16,4/50,42.43,6.53,38.9,1,0,NZ
RJ Trott,2007-2009,11,11,89.3,0,412,16,4/46,25.75,4.6,33.5,1,0,BER
MP Vaughan,2001-2007,86,28,132.4,2,649,16,4/22,40.56,4.89,49.7,1,0,ENG
R Vijay Bharadwaj,1999-2002,10,9,62.0,3,307,16,3/34,19.18,4.95,23.2,0,0,IND
KK Ahmed,2018-2019,11,11,80.0,2,465,15,3/13,31.0,5.81,32.0,0,0,IND
S Bhari,2020-2022,11,11,70.2,5,273,15,4/5,18.2,3.88,28.1,1,0,NEP
DCC Borden,2006-2008,12,12,68.3,0,392,15,4/30,26.13,5.72,27.4,1,0,BER
MG Bracewell,2022-2023,19,19,123.0,4,634,15,3/21,42.26,5.15,49.2,0,0,NZ
BA Carse,2021-2023,14,13,97.4,0,582,15,5/61,38.8,5.95,39.0,0,1,ENG
Danish Kaneria,2001-2007,18,18,142.2,11,683,15,3/31,45.53,4.79,56.9,0,0,PAK
TCB Fernando,2001-2003,17,17,116.4,7,586,15,5/67,39.06,5.02,46.6,0,1,SL
NC McGarrell,1998-2001,17,17,143.1,2,681,15,3/32,45.4,4.75,57.2,0,0,WI
SSB Magala,2021-2023,8,7,57.0,4,381,15,5/43,25.4,6.68,22.8,0,1,SA
GH O'Brien,2006-2008,9,9,76.0,3,405,15,3/31,27.0,5.32,30.4,0,0,BER
SS Pathirana,2015-2017,18,18,127.3,2,720,15,3/37,48.0,5.64,51.0,0,0,SL
Rahmat Shah,2013-2024,111,29,90.3,2,532,15,5/32,35.46,5.87,36.2,0,1,AFG
Rajin Saleh,2003-2006,43,19,89.5,1,459,15,4/16,30.6,5.1,35.9,1,0,BAN
BA Reid,1990-1992,20,20,176.4,21,644,15,2/18,42.93,3.64,70.6,0,0,AUS
HB Shipley,2023-2023,8,8,64.3,4,359,15,5/31,23.93,5.56,25.8,0,1,NZ
Soumya Sarkar,2014-2024,69,24,89.0,1,525,15,3/18,35.0,5.89,35.6,0,0,BAN
CT Tremlett,2005-2011,15,15,130.4,2,705,15,4/32,47.0,5.39,52.2,1,0,ENG
Usama Mir,2023-2023,12,12,106.0,0,634,15,4/43,42.26,5.98,42.4,1,0,PAK
JTC Vaughan,1992-1996,18,17,116.0,7,524,15,4/33,34.93,4.51,46.4,1,0,NZ
UWMBCA Welegedara,2009-2010,10,9,76.1,5,433,15,5/66,28.86,5.68,30.4,0,1,SL
D Wiese,2015-2022,15,15,122.5,3,686,15,3/50,45.73,5.58,49.1,0,0,SA
LJ Wright,2007-2014,50,37,173.0,2,884,15,2/34,58.93,5.1,69.2,0,0,ENG
HN Ya France,2019-2023,25,24,144.1,6,661,15,2/27,44.06,4.58,57.6,0,0,NAM
JO Angara,1997-2003,17,15,98.0,8,569,14,3/30,40.64,5.8,42.0,0,0,KENYA
Anshuman Rath,2014-2018,18,7,56.1,8,167,14,3/22,11.92,2.97,24.0,0,0,HKG
F Behardien,2013-2018,59,35,124.4,2,719,14,3/19,51.35,5.76,53.4,0,0,SA
DE Bernard,2003-2010,20,17,104.0,5,526,14,3/32,37.57,5.05,44.5,0,0,WI
GS Blewett,1995-1999,32,24,124.5,3,646,14,2/6,46.14,5.17,53.5,0,0,AUS
S Chanderpaul,1994-2011,268,28,123.2,0,636,14,3/18,45.42,5.15,52.8,0,0,WI
TLW Cooper,2010-2023,32,23,108.1,5,516,14,3/11,36.85,4.77,46.3,0,0,NED
JWM Dalrymple,2006-2007,27,23,140.0,2,666,14,2/5,47.57,4.75,60.0,0,0,ENG
Enamul Haque jnr,2005-2009,10,10,96.0,3,422,14,3/16,30.14,4.39,41.1,0,0,BAN
UC Hathurusingha,1992-1999,35,25,159.0,9,709,14,4/57,50.64,4.45,68.1,1,0,SL
EE Hemmings,1990-1991,15,14,140.0,6,597,14,3/31,42.64,4.26,60.0,0,0,ENG
KA Jamieson,2020-2023,13,12,100.4,9,511,14,3/45,36.5,5.07,43.1,0,0,NZ
SKW Kelly,2006-2009,10,10,64.5,3,371,14,3/36,26.5,5.72,27.7,0,0,BER
Mahedi Hasan,2021-2023,11,11,88.0,2,436,14,4/71,31.14,4.95,37.7,1,0,BAN
S Mahmood,2020-2023,8,8,69.5,5,320,14,4/42,22.85,4.58,29.9,1,0,ENG
GRJ Matthews,1990-1993,13,12,103.5,2,449,14,3/54,32.07,4.32,44.5,0,0,AUS
KR Mayers,2021-2023,28,23,114.2,3,632,14,2/30,45.14,5.52,49.0,0,0,WI
D Mongia,2001-2007,57,21,106.4,1,571,14,3/31,40.78,5.35,45.7,0,0,IND
A Neill,2019-2023,9,9,71.5,2,342,14,3/32,24.42,4.76,30.7,0,0,SCOT
JD Nel,2006-2010,19,19,121.4,10,649,14,4/25,46.35,5.33,52.1,1,0,SCOT
IE O'Brien,2008-2009,10,10,75.3,3,488,14,3/68,34.85,6.46,32.3,0,0,NZ
Rumman Raees,2017-2018,9,9,77.1,2,464,14,3/49,33.14,6.01,33.0,0,0,PAK
Shariz Ahmad,2022-2024,14,13,77.4,2,478,14,5/43,34.14,6.15,33.2,0,1,NED
Sohrawordi Shuvo,2010-2011,17,17,127.0,7,572,14,3/14,40.85,4.5,54.4,0,0,BAN
H Thaker,2023-2024,12,12,99.1,4,413,14,3/41,29.5,4.16,42.5,0,0,CAN
MP Bicknell,1990-1991,7,7,68.5,3,347,13,3/55,26.69,5.04,31.7,0,0,ENG
Y Cariah,2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0,WI
PC Connell,2008-2010,13,12,94.0,5,518,13,3/68,39.84,5.51,43.3,0,0,IRE
B Evans,2022-2023,15,14,87.2,5,521,13,5/54,40.07,5.96,40.3,0,1,ZIM
K Gore,2019-2021,16,16,92.0,9,406,13,4/20,31.23,4.41,42.4,1,0,USA
MN Hart,1994-2002,13,12,95.2,5,373,13,5/22,28.69,3.91,44.0,0,1,NZ
RS Higgins,2006-2006,11,11,90.4,6,380,13,4/21,29.23,4.19,41.8,1,0,ZIM
Kaleem Sana,2023-2024,8,8,67.2,9,290,13,4/42,22.3,4.3,31.0,1,0,CAN
W Madhevere,2020-2023,36,28,134.2,1,683,13,3/36,52.53,5.08,62.0,0,0,ZIM
AD Mascarenhas,2007-2009,20,20,137.0,6,634,13,3/23,48.76,4.62,63.2,0,0,ENG
Minhajul Abedin,1990-1999,22,16,88.0,3,490,13,2/39,37.69,5.56,40.6,0,0,BAN
DJ Mitchell,2021-2023,39,14,48.3,1,275,13,3/25,21.15,5.67,22.3,0,0,NZ
Mohammad Hussain,1997-1998,14,13,112.0,2,547,13,4/33,42.07,4.88,51.6,1,0,PAK
ASA Perera,1998-2001,20,18,96.3,2,522,13,2/25,40.15,5.4,44.5,0,0,SL
MDK Perera,2007-2018,13,10,76.0,2,409,13,3/48,31.46,5.38,35.0,0,0,SL
Pramod Madushan,2022-2024,9,9,60.2,1,426,13,4/75,32.76,7.06,27.8,1,0,SL
DJ Reekers,2006-2009,19,13,85.0,5,436,13,3/54,33.53,5.12,39.2,0,0,NED
JB Reva,2016-2018,9,9,67.3,1,357,13,3/40,27.46,5.28,31.1,0,0,PNG
MJG Rippon,2013-2022,9,9,67.0,4,299,13,4/37,23.0,4.46,30.9,1,0,NED
Sharafuddin Ashraf,2014-2024,20,20,147.2,4,652,13,3/29,50.15,4.42,68.0,0,0,AFG
JN Snape,2001-2002,10,10,88.1,2,403,13,3/43,31.0,4.57,40.6,0,0,ENG
Tareq Aziz,2002-2004,10,10,77.3,7,424,13,3/19,32.61,5.47,35.7,0,0,BAN
S Thuraisingam,2003-2008,10,10,70.1,5,305,13,4/35,23.46,4.34,32.3,1,0,CAN
JJ Tucker,2006-2009,26,21,136.3,4,701,13,2/23,53.92,5.13,63.0,0,0,BER
Umran Malik,2022-2023,10,9,61.0,2,399,13,3/57,30.69,6.54,28.1,0,0,IND
JJ van der Wath,2006-2007,10,10,87.4,2,551,13,2/21,42.38,6.28,40.4,0,0,SA
P Wilson,1997-1998,11,11,93.4,6,450,13,3/39,34.61,4.8,43.2,0,0,AUS
Aftab Ahmed,2004-2010,85,30,123.1,0,656,12,5/31,54.66,5.32,61.5,0,1,BAN
Ahsan Malik,2011-2014,12,11,78.3,1,408,12,3/38,34.0,5.19,39.2,0,0,NED
WD Balaji Rao,2008-2011,10,10,79.0,1,448,12,4/57,37.33,5.67,39.5,1,0,CAN
HR Bryan,1999-1999,15,15,120.2,5,518,12,4/24,43.16,4.3,60.1,1,0,WI
ADR Campbell,1992-2003,188,30,84.5,3,434,12,2/20,36.16,5.11,42.4,0,0,ZIM
PA Desai,2010-2014,13,13,102.0,8,485,12,3/35,40.41,4.75,51.0,0,0,CAN
AB Dinda,2010-2013,13,13,99.0,2,612,12,2/44,51.0,6.18,49.5,0,0,IND
H Durham,2006-2006,9,8,66.4,1,343,12,4/45,28.58,5.14,33.3,1,0,BER
AM Ellis,2012-2013,15,13,80.0,3,425,12,2/22,35.41,5.31,40.0,0,0,NZ
AM Guruge,2014-2015,7,7,58.3,2,337,12,4/56,28.08,5.76,29.2,1,0,UAE
PA Hitchcock,2002-2008,14,12,93.0,5,468,12,3/30,39.0,5.03,46.5,0,0,NZ
Kabir Khan,1994-2000,10,9,61.5,4,303,12,2/23,25.25,4.9,30.9,0,0,PAK
TP Kamungozi,2006-2015,14,13,106.0,1,548,12,2/36,45.66,5.16,53.0,0,0,ZIM
Khurram Khan,2004-2015,16,11,83.0,1,432,12,4/32,36.0,5.2,41.5,1,0,UAE
R Klein,2022-2023,13,13,102.3,6,521,12,2/31,43.41,5.08,51.2,0,0,NED
RK Kleinveldt,2013-2013,10,10,85.3,6,448,12,4/22,37.33,5.23,42.7,1,0,SA
GF Labrooy,1990-1992,14,14,119.1,4,640,12,2/40,53.33,5.37,59.5,0,0,SL
GA Lamb,2010-2011,15,15,107.0,3,467,12,3/45,38.91,4.36,53.5,0,0,ZIM
SG Law,1994-1999,54,25,134.3,3,635,12,2/22,52.91,4.72,67.2,0,0,AUS
DR Martyn,1992-2006,208,31,132.2,2,704,12,2/21,58.66,5.31,66.1,0,0,AUS
SF Mire,2014-2019,47,19,84.3,1,515,12,4/43,42.91,6.09,42.2,1,0,ZIM
Mohammad Hasnain,2019-2023,9,9,77.1,5,497,12,5/26,41.41,6.44,38.5,0,1,PAK
PWA Mulder,2017-2023,15,15,74.0,0,422,12,2/59,35.16,5.7,37.0,0,0,SA
Nasum Ahmed,2022-2023,15,14,121.1,12,550,12,3/19,45.83,4.53,60.5,0,0,BAN
SO Ngoche,2010-2014,14,13,94.5,3,431,12,2/28,35.91,4.54,47.4,0,0,KENYA
AH Omarshah,1992-1996,19,18,132.0,12,593,12,3/33,49.41,4.49,66.0,0,0,ZIM
MA Parker,2010-2010,10,10,69.0,6,327,12,4/33,27.25,4.73,34.5,1,0,SCOT
RG Petrie,1990-1991,12,12,110.0,7,449,12,2/25,37.41,4.08,55.0,0,0,NZ
GD Phillips,2022-2023,30,20,77.0,1,471,12,3/37,39.25,6.11,38.5,0,0,NZ
JD Ryder,2008-2014,48,19,67.5,0,412,12,3/29,34.33,6.07,33.9,0,0,NZ
Tanzim Hasan Sakib,2023-2024,7,7,55.1,3,311,12,3/14,25.91,5.63,27.5,0,0,BAN
SR Thompson,2013-2017,20,16,93.1,1,490,12,2/17,40.83,5.25,46.5,0,0,IRE
AJ Tye,2018-2018,7,7,64.3,1,392,12,5/46,32.66,6.07,32.2,0,1,AUS
KEA Upashantha,1995-2001,12,12,94.0,6,481,12,4/37,40.08,5.11,47.0,1,0,SL
T van der Gugten,2012-2021,8,8,54.0,7,195,12,5/24,16.25,3.61,27.0,0,1,NED
RR Watson,2006-2010,35,17,95.0,3,528,12,3/18,44.0,5.55,47.5,0,0,SCOT
CL White,2005-2018,91,19,55.1,2,351,12,3/5,29.25,6.36,27.5,0,0,AUS
PJ Wiseman,1998-2003,15,13,75.0,0,368,12,4/45,30.66,4.9,37.5,1,0,NZ
Aamer Nazir,1993-1995,9,9,69.3,1,346,11,3/43,31.45,4.97,37.9,0,0,PAK
VR Aaron,2011-2014,9,9,63.2,1,419,11,3/24,38.09,6.61,34.5,0,0,IND
RW Ali,1996-1997,9,9,56.2,4,255,11,3/17,23.18,4.52,30.7,0,0,KENYA
Amir Hayat,2018-2019,9,9,74.5,4,382,11,3/19,34.72,5.1,40.8,0,0,UAE
AAP Atkinson,2023-2023,9,9,63.4,0,388,11,2/28,35.27,6.09,34.7,0,0,ENG
LS Baker,2008-2009,10,9,71.0,6,355,11,3/47,32.27,5.0,38.7,0,0,WI
K Bhurtel,2021-2024,52,14,53.0,1,257,11,4/20,23.36,4.84,28.9,1,0,NEP
R Clarke,2003-2006,20,14,78.1,3,415,11,2/28,37.72,5.3,42.6,0,0,ENG
HT Davis,1994-1997,11,11,72.0,1,436,11,4/35,39.63,6.05,39.2,1,0,NZ
N Dhamba,2021-2022,10,9,58.0,3,242,11,3/20,22.0,4.17,31.6,0,0,OMA
JA Duffy,2022-2023,6,6,47.4,1,321,11,3/51,29.18,6.73,26.0,0,0,NZ
Z Groenewald,2019-2019,4,4,33.0,3,130,11,5/20,11.81,3.93,18.0,0,1,NAM
HF Gurney,2014-2014,10,10,75.5,4,432,11,4/55,39.27,5.69,41.3,1,0,ENG
Haris Sohail,2013-2023,45,21,107.0,0,613,11,3/45,55.72,5.72,58.3,0,0,PAK
Haseeb Amjad,2014-2016,7,7,57.0,7,288,11,3/49,26.18,5.05,31.0,0,0,HKG
DW Headley,1996-1999,13,13,99.0,2,520,11,2/38,47.27,5.25,54.0,0,0,ENG
D Heyliger,2023-2024,8,8,69.0,0,336,11,4/47,30.54,4.86,37.6,1,0,CAN
RL Johnson,2003-2003,10,9,67.0,7,239,11,3/22,21.72,3.56,36.5,0,0,ENG
NM Kulkarni,1997-1998,10,8,67.0,3,357,11,3/27,32.45,5.32,36.5,0,0,IND
RT Latham,1990-1994,33,21,75.0,2,386,11,5/32,35.09,5.14,40.9,0,1,NZ
CS MacLeod,2008-2022,88,41,161.2,4,836,11,2/26,76.0,5.18,88.0,0,0,SCOT
A Martin,2011-2011,9,9,74.0,5,296,11,4/36,26.9,4.0,40.3,1,0,WI
EZ Matambanadzo,1996-1997,7,7,49.3,1,217,11,4/32,19.72,4.38,27.0,1,0,ZIM
M Mbangwa,1996-2002,29,29,228.1,11,1140,11,2/24,103.63,4.99,124.4,0,0,ZIM
RL Powell,1999-2005,109,25,78.5,3,491,11,2/5,44.63,6.22,43.0,0,0,WI
TT Samaraweera,1998-2011,53,17,117.0,2,542,11,3/34,49.27,4.63,63.8,0,0,SL
Shafiuddin Ahmed,1997-2000,11,11,82.3,3,426,11,3/42,38.72,5.16,45.0,0,0,BAN
SM Sharma,2023-2024,10,10,57.0,5,323,11,3/37,29.36,5.66,31.0,0,0,UAE
K Sinclair,2022-2023,7,7,63.3,1,282,11,4/24,25.63,4.44,34.6,2,0,WI
JTS Sumerauer,2023-2023,5,5,49.0,5,245,11,4/51,22.27,5.0,26.7,1,0,JER
DLS van Bunge,2002-2013,37,13,55.1,1,329,11,3/16,29.9,5.96,30.0,0,0,NED
A van der Merwe,2010-2011,9,9,72.0,2,323,11,5/49,29.36,4.48,39.2,0,1,IRE
AS Wassan,1990-1991,9,9,71.0,0,283,11,3/28,25.72,3.98,38.7,0,0,IND
M Zondeki,2002-2008,13,12,93.0,8,504,11,2/40,45.81,5.41,50.7,0,0,SA
Rehan Ahmed,2023-2023,6,5,47.0,2,233,10,4/54,23.3,4.95,28.2,1,0,ENG
Ali Naseer,2023-2023,9,9,70.2,2,396,10,2/37,39.6,5.63,42.2,0,0,UAE
MW Alleyne,1999-2000,10,9,61.0,1,280,10,3/27,28.0,4.59,36.6,0,0,ENG
SA Ankola,1993-1997,17,17,124.0,3,562,10,3/33,56.2,4.53,74.4,0,0,IND
MA Aponso,2016-2018,9,9,70.3,1,377,10,4/18,37.7,5.34,42.3,1,0,SL
Arshdeep Singh,2022-2023,6,5,40.1,2,184,10,5/37,18.4,4.58,24.1,1,1,IND
TD Astle,2017-2019,9,8,45.0,1,246,10,3/33,24.6,5.46,27.0,0,0,NZ
S Bau,2016-2023,57,23,118.2,1,576,10,2/35,57.6,4.86,71.0,0,0,PNG
DJ Callaghan,1992-2000,29,19,74.0,2,365,10,3/32,36.5,4.93,44.4,0,0,SA
A Codrington,2003-2007,9,8,50.0,4,265,10,5/27,26.5,5.3,30.0,0,1,CAN
M de Lange,2012-2016,4,4,34.5,1,198,10,4/46,19.8,5.68,20.9,1,0,SA
R Dhanraj,1994-1995,6,5,44.0,2,170,10,4/26,17.0,3.86,26.4,1,0,WI
NT Ellis,2022-2023,8,8,64.0,1,382,10,2/13,38.2,5.96,38.4,0,0,AUS
BE Hendricks,2019-2023,10,8,64.2,2,346,10,3/59,34.6,5.37,38.6,0,0,SA
Jay Odedra,2019-2023,9,9,58.0,2,258,10,4/34,25.8,4.44,34.8,1,0,OMA
NG Jones,2010-2011,14,13,64.5,6,234,10,2/19,23.4,3.6,38.9,0,0,IRE
DK Liyanage,1992-2001,16,16,107.0,5,510,10,3/49,51.0,4.76,64.2,0,0,SL
B Mavuta,2018-2023,12,10,66.0,0,349,10,2/30,34.9,5.28,39.6,0,0,ZIM
Mohammad Sharif,2001-2007,9,9,83.1,5,424,10,3/40,42.4,5.09,49.9,0,0,BAN
Mohammad Zahid,1996-2002,11,11,85.2,8,391,10,2/20,39.1,4.58,51.2,0,0,PAK
D Mohammed,2006-2008,7,6,58.5,5,235,10,3/37,23.5,3.99,35.3,0,0,WI
Naimur Rahman,1995-2002,29,24,182.2,6,904,10,2/51,90.4,4.95,109.4,0,0,BAN
RJ Nicol,2011-2013,22,17,56.3,1,329,10,4/19,32.9,5.82,33.9,1,0,NZ
H Patel,2009-2013,23,16,68.1,3,353,10,4/28,35.3,5.17,40.9,1,0,CAN
IH Romaine,2006-2009,35,13,54.2,0,355,10,2/22,35.5,6.53,32.6,0,0,BER
RL Sanghvi,1998-1998,10,10,83.0,1,399,10,3/29,39.9,4.8,49.8,0,0,IND
Sanuar Hossain,1998-2003,27,13,63.5,1,327,10,3/49,32.7,5.12,38.3,0,0,BAN
OF Smith,2022-2023,9,9,47.1,0,261,10,2/26,26.1,5.53,28.3,0,0,WI
TB Sole,2018-2019,10,10,84.0,7,387,10,4/15,38.7,4.6,50.4,1,0,SCOT
MN Waller,2009-2018,79,30,111.0,0,566,10,2/44,56.6,5.09,66.6,0,0,ZIM
KIW Wijegunawardene,1990-1992,14,13,99.0,4,570,10,2/34,57.0,5.75,59.4,0,0,SL
Ziaur Rahman,2013-2014,13,11,65.0,1,301,10,5/30,30.1,4.63,39.0,0,1,BAN
CN Ackermann,2021-2023,16,16,91.2,3,451,9,2/39,50.11,4.93,60.8,0,0,NED
MKDI Amerasinghe,2007-2008,8,8,71.0,6,363,9,3/44,40.33,5.11,47.3,0,0,SL
Amjad Javed,2008-2017,15,15,103.0,4,608,9,3/60,67.55,5.9,68.6,0,0,UAE
Avesh Khan,2022-2023,8,8,59.2,5,329,9,4/27,36.55,5.54,39.5,1,0,IND
ML Cummins,2014-2017,11,9,75.0,3,474,9,3/82,52.66,6.32,50.0,0,0,WI
MH Dekker,1992-1996,23,12,57.5,0,290,9,2/16,32.22,5.01,38.5,0,0,ZIM
PLS Gamage,2014-2017,9,9,67.0,3,392,9,4/57,43.55,5.85,44.6,1,0,SL
BD Glover,2019-2023,9,9,73.0,2,444,9,3/43,49.33,6.08,48.6,0,0,NED
Sir RJ Hadlee,1990-1990,6,6,60.2,13,224,9,2/27,24.88,3.71,40.2,0,0,NZ
Javed Ahmadi,2010-2021,47,19,75.2,0,363,9,4/37,40.33,4.81,50.2,1,0,AFG
P Khadka,2018-2020,10,9,62.0,2,243,9,4/26,27.0,3.91,41.3,1,0,NEP
Khaliq Dad,2009-2010,6,6,42.0,4,150,9,3/30,16.66,3.57,28.0,0,0,AFG
RJ Kirtley,2001-2004,11,11,91.3,4,481,9,2/33,53.44,5.25,61.0,0,0,ENG
T Kumaran,1999-2000,8,8,63.0,4,348,9,3/24,38.66,5.52,42.0,0,0,IND
RP Lefebvre,1996-2003,11,11,89.0,6,346,9,2/38,38.44,3.88,59.3,0,0,NED
AS Luseno,2003-2010,10,10,55.0,1,316,9,4/32,35.11,5.74,36.6,1,0,KENYA
MW Machan,2013-2016,23,16,67.0,2,384,9,3/31,42.66,5.73,44.6,0,0,SCOT
Manzoor Elahi,1990-1995,8,8,71.0,2,283,9,3/36,31.44,3.98,47.3,0,0,PAK
Mohammad Kashif,2006-2010,11,11,75.0,4,410,9,3/42,45.55,5.46,50.0,0,0,NED
Mohammad Shahzad,2014-2016,6,6,40.0,3,233,9,4/26,25.88,5.82,26.6,1,0,UAE
Mohammad Tauqir,2004-2015,11,11,81.5,1,383,9,2/38,42.55,4.68,54.5,0,0,UAE
