name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul,country
Naeem Islam,2008-2014,59,48,290.3,9,1407,35,3/32,40.2,4.84,49.8,0,0,BAN
CO Obuya,2001-2014,104,49,303.0,8,1637,35,5/24,46.77,5.4,51.9,0,1,KENYA
D Pretorius,2016-2022,27,26,190.4,9,947,35,4/36,27.05,4.96,32.6,1,0,SA
JJ Smit,2019-2024,33,25,184.0,14,777,35,5/26,22.2,4.22,31.5,1,2,NAM
BA Williams,2002-2004,25,24,200.3,19,814,35,5/22,23.25,4.05,34.3,1,2,AUS
KJ Abbott,2013-2016,28,27,217.1,13,1051,34,4/21,30.91,4.83,38.3,2,0,SA
L Balaji,2002-2009,30,30,241.1,11,1344,34,4/48,39.52,5.57,42.5,1,0,IND
RD Berrington,2008-2024,115,62,258.2,8,1345,34,4/40,39.55,5.2,45.5,1,0,SCOT
TL Best,2004-2014,26,26,216.4,9,1157,34,4/35,34.02,5.34,38.2,2,0,WI
PKD Chase,2015-2018,25,24,206.2,2,1356,34,3/33,39.88,6.57,36.4,0,0,IRE
TK Curran,2017-2021,28,28,218.0,8,1290,34,5/35,37.94,5.91,38.4,2,1,ENG
OD Gibson,1995-1997,15,15,123.1,8,621,34,5/40,18.26,5.04,21.7,2,2,WI
RDM Leverock,2006-2009,32,32,280.4,38,1123,34,5/53,33.02,4.0,49.5,0,1,BER
Mohammad Wasim (1),2022-2023,20,20,160.2,7,856,34,4/36,25.17,5.33,28.2,1,0,PAK
DN Patel,1990-1997,54,52,439.0,28,1732,34,3/26,50.94,3.94,77.4,0,0,NZ
KMA Paul,2018-2023,30,29,208.5,4,1238,34,3/34,36.41,5.92,36.8,0,0,WI
RR Powar,2004-2007,31,29,256.0,6,1191,34,3/24,35.02,4.65,45.1,0,0,IND
JA Rennie,1993-2000,44,43,327.3,16,1564,34,3/27,46.0,4.77,57.7,0,0,ZIM
Usman Shinwari,2017-2019,17,17,128.0,8,633,34,5/34,18.61,4.94,22.5,3,2,PAK
Akram Raza,1990-1995,44,43,393.3,14,1450,33,3/18,43.93,3.68,71.5,0,0,PAK
Ali Khan,2019-2023,15,15,113.3,9,542,33,7/32,16.42,4.77,20.6,0,2,USA
KCG Benjamin,1992-1996,26,26,219.5,12,923,33,3/34,27.96,4.19,39.9,0,0,WI
HK Bennett,2010-2020,19,18,148.4,5,820,33,4/16,24.84,5.51,27.0,3,0,NZ
U Bhatti,2006-2010,36,35,271.4,31,1149,33,4/45,34.81,4.22,49.3,1,0,CAN
SM Curran,2018-2023,32,32,212.5,10,1323,33,5/48,40.09,6.21,38.6,1,1,ENG
ST Gabriel,2016-2019,25,25,191.2,6,1134,33,3/17,34.36,5.92,34.7,0,0,WI
SI Kamea,2022-2023,22,21,166.4,10,868,33,5/38,26.3,5.2,30.3,0,2,PNG
YK Pathan,2008-2012,57,50,248.2,3,1365,33,3/49,41.36,5.49,45.1,0,0,IND
E Schiferli,2002-2013,30,30,215.4,16,1008,33,4/23,30.54,4.67,39.2,3,0,NED
Shabbir Ahmed,1999-2005,32,32,273.4,25,1192,33,3/32,36.12,4.35,49.7,0,0,PAK
EO Simons,1994-1995,23,23,202.0,21,810,33,4/42,24.54,4.0,36.7,1,0,SA
TM Alderman,1990-1991,23,23,191.5,24,712,32,5/32,22.25,3.71,35.9,0,1,AUS
CJA Amini,2014-2023,49,43,284.2,8,1378,32,4/27,43.06,4.84,53.3,1,0,PNG
PP Chawla,2007-2011,25,25,218.4,6,1117,32,4/23,34.9,5.1,41.0,2,0,IND
AC Dale,1997-2000,30,30,266.0,34,979,32,3/18,30.59,3.68,49.8,0,0,AUS
MG Erasmus,2019-2024,44,30,171.0,8,719,32,5/28,22.46,4.2,32.0,0,1,NAM
MJ Hoggard,2001-2006,26,26,217.4,13,1152,32,5/49,36.0,5.29,40.8,0,1,ENG
AJ Hollioake,1996-1999,35,32,201.2,3,1019,32,4/23,31.84,5.06,37.7,2,0,ENG
Imran Haider,2017-2019,20,20,157.1,6,841,32,4/25,26.28,5.35,29.4,2,0,UAE
JM Kemp,2001-2007,85,48,217.1,10,1015,32,3/20,31.71,4.67,40.7,0,0,SA
FJ Klaassen,2018-2023,19,19,174.3,12,753,32,3/23,23.53,4.31,32.7,0,0,NED
WP Masakadza,2015-2024,38,35,258.0,8,1266,32,4/21,39.56,4.9,48.3,1,0,ZIM
Naseem Shah,2022-2023,14,14,115.5,3,543,32,5/33,16.96,4.68,21.7,0,2,PAK
KTGD Prasad,2006-2015,24,24,169.1,4,976,32,3/17,30.5,5.76,31.7,0,0,SL
S Prasanna,2011-2019,40,39,324.1,9,1767,32,3/32,55.21,5.45,60.7,0,0,SL
Rizwan Cheema,2008-2013,33,32,221.4,11,1095,32,3/25,34.21,4.93,41.5,0,0,CAN
BV Vitori,2011-2018,24,24,198.5,4,1149,32,5/20,35.9,5.77,37.2,0,2,ZIM
G Coetzee,2023-2023,14,14,111.0,1,720,31,4/44,23.22,6.48,21.4,2,0,SA
JW Dernbach,2011-2013,24,24,205.4,6,1308,31,4/45,42.19,6.35,39.8,1,0,ENG
KS Lokuarachchi,2003-2007,21,21,168.3,7,725,31,4/44,23.38,4.3,32.6,1,0,SL
MJ Mason,2003-2010,26,25,196.3,15,1024,31,4/24,33.03,5.21,38.0,1,0,NZ
MM Sharma,2013-2015,26,25,186.5,12,1020,31,4/22,32.9,5.45,36.1,1,0,IND
Taijul Islam,2014-2024,20,20,175.0,9,805,31,5/28,25.96,4.6,33.8,1,1,BAN
J Theron,2010-2022,18,17,130.0,6,667,31,5/44,21.51,5.13,25.1,1,1,USA
O Thomas,2018-2024,25,24,153.2,1,1034,31,5/21,33.35,6.74,29.6,1,1,WI
MR Whitney,1991-1993,29,29,264.0,37,874,31,4/34,28.19,3.31,51.0,1,0,AUS
Abdur Rehman,2006-2014,31,31,270.4,12,1142,30,4/48,38.06,4.21,54.1,1,0,PAK
C de Grandhomme,2012-2022,45,45,258.0,10,1230,30,3/26,41.0,4.76,51.6,0,0,NZ
Hasan Mahmud,2021-2023,22,21,159.3,7,963,30,5/32,32.1,6.03,31.9,0,1,BAN
GA Hick,1991-2001,120,47,206.0,6,1026,30,5/33,34.2,4.98,41.2,0,1,ENG
RK Illingworth,1991-1996,25,25,250.1,13,1059,30,3/33,35.3,4.23,50.0,0,0,ENG
SI Mahmood,2004-2009,26,25,199.3,7,1169,30,4/50,38.96,5.85,39.9,1,0,ENG
GT Main,2019-2022,14,14,108.1,10,569,30,5/52,18.96,5.26,21.6,1,1,SCOT
DA Marillier,2000-2003,48,35,262.2,7,1235,30,4/38,41.16,4.7,52.4,1,0,ZIM
TBA May,1992-1995,33,33,307.2,11,1286,30,3/19,42.86,4.18,61.4,0,0,AUS
CG Rackemann,1990-1991,21,21,185.0,17,691,30,4/44,23.03,3.73,37.0,1,0,AUS
PR Adams,1996-2003,24,23,184.5,7,815,29,3/26,28.1,4.4,38.2,0,0,SA
RK Chauhan,1993-1997,35,34,272.2,12,1216,29,3/29,41.93,4.46,56.3,0,0,IND
TBM de Leede,1996-2007,29,29,189.5,6,999,29,4/35,34.44,5.26,39.2,1,0,NED
Ehsan Khan,2016-2018,15,15,134.3,7,594,29,4/33,20.48,4.41,27.8,1,0,HKG
Hasibul Hossain,1995-2004,32,32,229.1,13,1338,29,4/56,46.13,5.83,47.4,1,0,BAN
BW Hilfenhaus,2007-2012,25,25,202.4,16,1075,29,5/33,37.06,5.3,41.9,0,1,AUS
NM Lyon,2012-2019,29,29,271.0,11,1334,29,4/44,46.0,4.92,56.0,1,0,AUS
BA Murphy,2000-2003,31,29,237.0,9,1130,29,3/43,38.96,4.76,49.0,0,0,ZIM
M Prasidh Krishna,2021-2023,17,17,132.2,7,742,29,4/12,25.58,5.6,27.3,2,0,IND
FA Rose,1997-2000,27,27,221.0,13,1046,29,5/23,36.06,4.73,45.7,0,1,WI
RJ Sidebottom,2001-2010,25,25,212.5,12,1039,29,3/19,35.82,4.88,44.0,0,0,ENG
RE van der Merwe,2009-2024,27,27,222.3,3,1088,29,3/27,37.51,4.88,46.0,0,0,SA
CM Wright,2006-2009,20,19,143.3,15,663,29,4/29,22.86,4.62,29.6,1,0,SCOT
SA Abbott,2014-2024,21,21,165.1,9,894,28,3/23,31.92,5.41,35.3,0,0,AUS
IG Butler,2002-2010,26,25,184.5,6,1038,28,4/44,37.07,5.61,39.6,1,0,NZ
C Campher,2020-2024,37,30,168.4,4,999,28,4/37,35.67,5.92,36.1,1,0,IRE
Fayyaz Butt,2019-2023,23,23,167.3,4,988,28,4/79,35.28,5.89,35.8,1,0,OMA
WW Hinds,1999-2010,119,34,157.3,3,837,28,3/24,29.89,5.31,33.7,0,0,WI
VJ Kingma,2014-2024,22,22,160.5,9,833,28,3/19,29.75,5.17,34.4,0,0,NED
BMAJ Mendis,2010-2019,58,49,234.0,2,1204,28,3/15,43.0,5.14,50.1,0,0,SL
SPD Smith,2010-2024,158,40,179.2,1,971,28,3/16,34.67,5.41,38.4,0,0,AUS
HR Walsh,2019-2024,23,23,172.1,1,932,28,5/39,33.28,5.41,36.8,1,1,WI
Ata-ur-Rehman,1992-1996,30,30,248.4,7,1186,27,3/27,43.92,4.76,55.2,0,0,PAK
Ayaan Khan,2021-2023,34,32,192.4,9,938,27,4/36,34.74,4.86,42.8,1,0,OMA
IT Botham,1991-1992,18,18,167.0,13,628,27,4/31,23.25,3.76,37.1,2,0,ENG
RL Chase,2017-2024,45,37,258.5,6,1255,27,3/30,46.48,4.84,57.5,0,0,WI
PW Gunaratne,2002-2003,23,23,159.5,6,908,27,4/44,33.62,5.68,35.5,1,0,SL
KM Jadhav,2014-2020,73,42,197.5,1,1020,27,3/23,37.77,5.15,43.9,0,0,IND
AY Karim,1996-2003,34,33,261.2,21,1114,27,5/33,41.25,4.26,58.0,0,1,KENYA
AJ McKay,2010-2012,19,19,154.2,7,800,27,4/53,29.62,5.18,34.2,2,0,NZ
PJ Martin,1995-1998,20,20,174.4,9,806,27,4/44,29.85,4.61,38.8,1,0,ENG
RAP Nissanka,2001-2003,23,23,166.1,6,857,27,4/12,31.74,5.15,36.9,1,0,SL
RJ Ratnayake,1990-1993,22,22,187.2,16,790,27,5/32,29.25,4.21,41.6,0,1,SL
JA Richardson,2018-2022,15,15,135.0,11,793,27,4/26,29.37,5.87,30.0,1,0,AUS
JE Root,2013-2023,171,72,273.0,2,1587,27,3/52,58.77,5.81,60.6,0,0,ENG
PADLR Sandakan,2016-2021,31,30,248.0,3,1539,27,4/52,57.0,6.2,55.1,1,0,SL
MD Shanaka,2016-2024,71,46,176.0,3,999,27,5/43,37.0,5.67,39.1,0,1,SL
R Shepherd,2019-2024,31,29,195.0,6,1083,27,3/37,40.11,5.55,43.3,0,0,WI
JDF Vandersay,2015-2024,22,20,153.0,6,849,27,4/10,31.44,5.54,34.0,1,0,SL
PA van Meekeren,2013-2023,22,22,171.2,8,987,27,4/23,36.55,5.76,38.0,1,0,NED
DAJ Bracewell,2011-2022,21,21,169.2,18,845,26,4/55,32.5,4.99,39.0,1,0,NZ
Faheem Ashraf,2017-2023,34,33,232.2,9,1204,26,5/22,46.3,5.18,53.6,0,1,PAK
R Hekure,2019-2023,25,24,158.5,8,733,26,5/13,28.19,4.61,36.6,0,1,PNG
LN Onyango,1996-2014,29,28,165.5,9,981,26,3/29,37.73,5.91,38.2,0,0,KENYA
AM Phangiso,2013-2016,21,21,180.5,6,829,26,3/40,31.88,4.58,41.7,0,0,SA
N Pokana,2017-2022,21,21,164.5,12,762,26,3/25,29.3,4.62,38.0,0,0,PNG
AR Border,1990-1994,79,28,142.3,3,678,25,3/24,27.12,4.75,34.2,0,0,AUS
DN Crookes,1994-2000,32,30,203.3,5,1011,25,3/30,40.44,4.96,48.8,0,0,SA
GD Drummond,2007-2013,30,29,210.3,22,932,25,4/41,37.28,4.42,50.5,1,0,SCOT
CN Greaves,2022-2024,25,21,106.5,2,576,25,5/53,23.04,5.39,25.6,1,1,SCOT
Jasdeep Singh,2019-2023,24,24,179.0,10,947,25,4/32,37.88,5.29,42.9,2,0,USA
A Kuruvilla,1997-1997,25,25,188.3,18,890,25,4/43,35.6,4.72,45.2,1,0,IND
D Langford-Smith,2006-2008,22,21,157.0,12,797,25,3/32,31.88,5.07,37.6,0,0,IRE
SW Masakadza,2010-2014,16,16,131.5,4,891,25,4/46,35.64,6.75,31.6,3,0,ZIM
A Nao,2017-2023,26,26,191.2,10,972,25,4/27,38.88,5.08,45.9,1,0,PNG
A Ranatunga,1990-1999,189,65,332.0,8,1546,25,2/21,61.84,4.65,79.6,0,0,SL
BTJ Wheal,2016-2024,14,14,123.3,10,559,25,3/34,22.36,4.52,29.6,0,0,SCOT
AR White,2006-2014,61,35,144.5,4,688,25,4/44,27.52,4.75,34.7,1,0,IRE
Alok Kapali,2002-2011,69,49,242.0,8,1255,24,3/49,52.29,5.18,60.5,0,0,BAN
Arafat Sunny,2014-2015,16,16,138.2,8,600,24,4/27,25.0,4.33,34.5,2,0,BAN
ID Blackwell,2002-2006,34,26,205.0,8,877,24,3/26,36.54,4.27,51.2,0,0,ENG
TS Chisoro,2015-2020,21,19,150.0,7,684,24,3/16,28.5,4.56,37.5,0,0,ZIM
Harvinder Singh,1997-2001,16,16,114.2,6,609,24,3/44,25.37,5.32,28.5,0,0,IND
Imran Khan,1990-1992,39,37,283.2,16,1168,24,3/15,48.66,4.12,70.8,0,0,PAK
RC Irani,1996-2003,31,30,213.5,5,989,24,5/26,41.2,4.62,53.4,1,1,ENG
MBS Jonkman,2006-2010,16,16,119.5,12,565,24,3/24,23.54,4.71,29.9,0,0,NED
C Karunaratne,2021-2023,26,23,132.5,4,765,24,4/43,31.87,5.75,33.2,1,0,SL
Kushal Malla,2020-2024,36,30,177.1,11,785,24,2/6,32.7,4.43,44.2,0,0,NEP
Manjural Islam,1999-2003,34,34,265.1,24,1284,24,3/37,53.5,4.84,66.2,0,0,BAN
B McMullen,2022-2024,18,15,113.0,9,479,24,5/34,19.95,4.23,28.2,0,1,SCOT
Nasir Hossain,2011-2018,65,43,209.2,4,988,24,3/26,41.16,4.71,52.3,0,0,BAN
MS Panesar,2007-2007,26,26,218.0,10,980,24,3/25,40.83,4.49,54.5,0,0,ENG
SR Patel,2008-2013,36,32,197.5,4,1091,24,5/41,45.45,5.51,49.4,0,1,ENG
KR Pushpakumara,1994-1999,31,31,238.2,12,1181,24,3/25,49.2,4.95,59.5,0,0,SL
GC Small,1990-1992,22,22,179.0,17,778,24,3/29,32.41,4.34,44.7,0,0,ENG
Yasir Shah,2011-2019,25,24,215.3,4,1150,24,6/26,47.91,5.33,53.8,1,1,PAK
Aizaz Cheema,2011-2012,14,14,109.4,3,593,23,4/43,25.78,5.4,28.6,2,0,PAK
KM Dabengwa,2005-2010,37,35,184.5,2,936,23,3/15,40.69,5.06,48.2,0,0,ZIM
Fareed Ahmad,2014-2024,17,16,115.0,5,649,23,3/56,28.21,5.64,30.0,0,0,AFG
G Goudie,2008-2013,16,16,121.3,8,623,23,5/73,27.08,5.12,31.6,0,1,SCOT
AP Gurusinha,1990-1996,110,46,221.4,7,1107,23,2/25,48.13,4.99,57.8,0,0,SL
KAD Hurdle,2006-2007,19,19,150.5,7,831,23,3/24,36.13,5.5,39.3,0,0,BER
Manjural Islam Rana,2003-2006,25,23,166.0,9,689,23,4/34,29.95,4.15,43.3,2,0,BAN
S Mukuddem,2006-2007,20,20,160.0,16,752,23,4/40,32.69,4.7,41.7,1,0,BER
CAH Stevenson,2019-2022,18,17,115.3,5,642,23,3/22,27.91,5.55,30.1,0,0,USA
DN Wellalage,2022-2024,21,20,148.2,2,793,23,5/40,34.47,5.34,38.6,0,1,SL
Al-Amin Hossain,2014-2020,15,15,110.3,7,608,22,4/51,27.63,5.5,30.1,2,0,BAN
DR Brown,1997-2007,25,25,158.5,6,919,22,3/37,41.77,5.78,43.3,0,0,SCOT
Ebadot Hossain,2022-2023,12,11,90.0,4,504,22,4/42,22.9,5.6,24.5,2,0,BAN
Farhad Reza,2006-2011,34,32,189.5,12,1017,22,5/42,46.22,5.35,51.7,0,1,BAN
DAS Gunaratne,2016-2019,31,25,139.0,3,723,22,3/10,32.86,5.2,37.9,0,0,SL
BP Julian,1993-1999,25,25,191.0,11,997,22,3/40,45.31,5.21,52.0,0,0,AUS
RN Lewis,1997-2009,28,25,191.4,2,983,22,3/43,44.68,5.12,52.2,0,0,WI
MD Marshall,1990-1992,27,25,221.0,19,922,22,4/18,41.9,4.17,60.2,1,0,WI
KV Morea,2021-2023,17,17,122.0,7,575,22,5/28,26.13,4.71,33.2,0,1,PNG
G Motie,2022-2024,13,13,110.1,5,436,22,4/23,19.81,3.95,30.0,1,0,WI
Naveen-ul-Haq,2016-2023,15,15,115.1,2,708,22,4/42,32.18,6.14,31.4,1,0,AFG
ML Nkala,1998-2006,50,46,263.4,8,1570,22,3/12,71.36,5.95,71.9,0,0,ZIM
E Otieno,2007-2014,26,25,159.0,6,927,22,4/33,42.13,5.83,43.3,1,0,KENYA
MW Pringle,1992-1994,17,17,145.0,12,604,22,4/11,27.45,4.16,39.5,1,0,SA
Sohag Gazi,2012-2014,20,19,153.1,12,722,22,4/29,32.81,4.71,41.7,1,0,BAN
WF Stelling,2006-2007,15,15,116.3,12,567,22,3/12,25.77,4.86,31.7,0,0,NED
AC Agar,2015-2023,22,22,183.0,4,958,21,2/31,45.61,5.23,52.2,0,0,AUS
JT Ball,2016-2018,18,18,157.5,5,980,21,5/51,46.66,6.2,45.0,0,1,ENG
DH Brain,1992-1995,23,23,181.5,14,849,21,3/51,40.42,4.66,51.9,0,0,ZIM
AC Dawson,1998-2004,19,19,150.1,11,715,21,4/49,34.04,4.76,42.9,1,0,SA
RMS Eranga,2011-2016,19,17,119.2,4,686,21,3/46,32.66,5.74,34.0,0,0,SL
CN Evans,1992-2002,53,34,160.4,4,848,21,3/11,40.38,5.27,45.9,0,0,ZIM
Gulsan Jha,2021-2024,27,25,120.3,2,760,21,3/28,36.19,6.3,34.4,0,0,NEP
M Hayward,1998-2002,21,21,165.3,5,858,21,4/31,40.85,5.18,47.2,1,0,SA
GI Hume,2022-2024,15,15,107.3,4,580,21,4/34,27.61,5.39,30.7,2,0,IRE
NB Mahwire,2004-2006,23,21,147.3,12,775,21,3/29,36.9,5.25,42.1,0,0,ZIM
PP Ojha,2008-2012,18,17,146.0,5,652,21,4/38,31.04,4.46,41.7,1,0,IND
DR Pringle,1990-1993,19,19,163.4,27,643,21,4/42,30.61,3.92,46.7,1,0,ENG
AO Suji,1996-2008,60,46,215.5,12,1175,21,2/14,55.95,5.44,61.6,0,0,KENYA
MH Yardy,2006-2011,28,28,222.0,7,1075,21,3/24,51.19,4.84,63.4,0,0,ENG
Kabir Ali,2003-2006,14,13,112.1,4,682,20,4/45,34.1,6.08,33.6,1,0,ENG
Aqib Ilyas,2019-2023,25,23,122.0,4,552,20,4/36,27.6,4.52,36.6,1,0,OMA
STR Binny,2014-2015,14,12,81.4,4,439,20,6/4,21.95,5.37,24.5,0,1,IND
DT Christian,2012-2021,20,19,121.1,4,595,20,5/31,29.75,4.91,36.3,0,1,AUS
A Jadeja,1992-2000,196,52,208.0,2,1094,20,3/3,54.7,5.25,62.4,0,0,IND
